Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,MisparKoma1,m_SetachMigrashBayitprati,M_ShuviDira,MbNifkadGalKodem,Ozeret1,k_ShaotOzeret1,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,Meconit1,k_MispMeconiyot1,Sfarim1,MazavKAtid1,MazavKAvar1,ChisachonAtid1,ChisachonHayom1,IdkunBaalut1,IdkunMegurimSchirut1,k_baalut1,m_DmeSchirutChodeshi,SinuyDira21,SinuyDiraP21,SugDira1,MspDirotBeKomatMegurim1,MispKomotBinyan1,MispDirotBinyan1,DiraMedurag1,SetachBayitpratY1,SetachDira1,MekorSetach1,K_MispHadarim1,K_MispHadarimMegurim1,MirpesetSherut1,ChederAronot1,MachsanBetochD1,MachsanMiD1,KamaSherutim1,ChanayaPratit1,AimMekura1,Maaliyot1,MirpesetChitzonit1,KamaMirpeset1,GinaPratit1,KamaGinaPratit1,GodelGinaPratit1,k_mizug1,HasakaPratit1,Kivun1,KamaKivun1,NofYam1,NofSetachYarok1,NofGag1,NofKvish1,NofRakevet1,NofAntena1,NofKvishPnimi1,NofSetachPatuch1,BaayaChoshech1,BaayaKvish1,BaayaRakevet1,BaayaMatos1,BaayaBiluy1,BaayaChinuch1,BaayaMifal1,BaayaZevel1,BaayaZihum1,BaayaRech1,BaayaHaznacha1,ShanaBniya1,OfenBaalut1,Mocher1,ShanaRechishaK1,ChodeshRechishaK1,MechirKnuya1,MatbeaKnuya1,ShanaRechishaB1,ChodeshRechishaB1,OfenBaalutMigrash1,MechirBniya1,MatbeaBniya1,AlutBniya1,MatbeaAlutBniya1,HagdalatDira1,SinuyimPnimiimBDira1,ShuviDiraYoter1
353,,5,2017,1566.160872,0,0,0,0,0,0,0,0,0,0,0,0,89300,1,0,1,0,1,,,,1,2,,,,,,2,,3,2,2,3,3,,1,2,2000,,,4,2,4,3,2,,75,3,3,3,1,2,2,2,2,2,,0,1,2,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,,5,2017,1016.538502,0,0,0,0,0,0,0,0,0,0,0,0,186875,1,0,1,1,0,,,,1,2,,,,,,1,1,3,2,4,4,4,,1,2,99999998,,,4,4,8,4,2,,654,4,2,2,2,2,2,2,1,,,1,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,,5,2017,560.6965019,0,0,0,24000,0,0,0,0,0,0,0,60527,84527,2,0,2,1,1,,,1700000,1,1,2,2,1,2,2,1,1,4,3,3,4,3,1,,1,,2,2,4,4,3,3,2,,75,3,4,2,2,2,2,2,1,1,2,0,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,4,1,2,1971,12,53000,7,,,,,,,,,,3
356,,5,2017,634.355338,0,109000,0,0,0,0,0,0,0,0,424511,70372.5,699883.5,2,0,2,1,1,,,4000000,1,1,2,2,1,2,2,1,2,5,3,3,2,1,1,,1,,2,2,4,4,8,4,2,,150,1,4,4,1,1,2,1,3,1,1,2,1,2,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,7,1,2,1998,9,450000,2,,,,,,,,,,
358,,5,2017,742.7530714,0,0,0,69600,0,0,0,0,0,0,0,70782,140382,2,0,2,1,1,,300,,2,2,,,,,,1,2,3,3,3,2,2,,,1,,,,8,,,,1,,230,4,5,4,1,1,2,1,4,1,1,1,,,,,,2,3,6,4,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,7,2,,,,,,1995,1,3,,,,,2,2,
359,,5,2017,628.6074647,0,0,0,0,0,0,0,0,0,0,0,57876,59215.27778,2,0,2,1,1,,,99999998,2,2,,,,,,1,1,3,99999998,3,4,3,,,1,,,,4,4,10,4,2,,150,1,4,4,1,1,2,1,3,1,3,2,1,1,,,,1,3,4,2,2,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,1,2,2,8,1,2,99999999,,99999999,,,,,,,,,2,1,
360,,5,2017,640.9558109,0,0,0,0,0,0,0,0,0,0,113722,47864,161586,2,0,2,1,1,,,99999998,1,2,,,,,,1,1,3,3,3,3,3,1,,1,,2,2,4,2,1,1,2,,83,3,3,2,1,2,2,2,1,2,,0,1,1,1,1,99999998,2,3,,,,,,,,,,,,,,,,,,,,,,2,1,4,1956,7,99999998,,,,,,,,,,,
361,,5,2017,634.355338,0,0,0,0,0,0,0,0,0,0,110954,53395,170277,2,0,2,1,1,,,4000000,1,2,,,,,,1,2,5,3,3,2,3,1,,1,,2,2,3,2,6,2,2,,125,1,4,2,1,2,2,2,3,1,2,1,1,3,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,6,1,2,1992,5,1500000,1,,,,,,,,,,
362,,5,2017,495.8116783,0,576000,0,0,0,0,0,0,0,0,156000,27564,809564,1,0,1,1,0,,,3700000,1,1,1,2,1,2,2,1,1,5,2,2,1,2,1,,1,,2,2,4,2,8,4,2,,120,4,5,4,2,2,2,2,2,2,,1,2,,2,,,2,2,,,,,,,,,,,,,,,,,,,,,,4,1,2,1971,6,31000,2,,,,,,,,,,3
363,,5,2017,687.188792,0,0,0,0,0,0,0,0,0,0,96000,41845.33333,137845.3333,2,0,2,1,1,,,4000000,1,1,1,2,1,2,2,2,,3,3,3,3,3,1,,1,,2,2,4,1,3,2,2,,140,4,5,1,1,2,2,1,2,1,2,1,1,1,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,6,1,2,1992,99999998,250000,2,,,,,,,,,,
364,,5,2017,693.3364598,0,0,0,0,0,0,0,0,0,0,7200,37292,44492,1,0,1,0,1,2,,99999998,1,2,,,,,,2,,3,99999998,3,4,3,1,,1,,2,2,4,2,2,1,2,,99999998,,3,3,1,2,2,2,1,2,,0,1,1,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,5,1,1,1990,99999998,99999998,,,,,,,,,,,
365,,5,2017,572.7644491,0,0,0,0,0,0,0,0,48000,0,84000,29112,161112,1,0,1,0,1,,400,2400000,1,1,1,2,1,2,2,1,1,5,3,3,3,2,1,,1,,2,2,8,,,,2,,150,1,4,3,2,1,2,1,3,2,,0,1,2,,,,2,3,,,,,,,,,,,,,,,,,,,,,,6,1,1,2007,9,330000,2,,,,,,,,,,
366,,5,2017,634.355338,0,0,0,0,0,0,0,0,0,0,0,53526,53526,2,0,2,1,1,,,99999999,2,1,1,2,1,2,2,1,1,3,3,3,2,2,,,1,,,,4,2,3,2,2,,100,4,5,4,1,2,2,2,2,1,1,1,2,,,,,2,3,4,4,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,99999998,1,2,4,1,2,99999999,,99999999,,,,,,,,,2,1,
367,,5,2017,742.7530714,0,0,0,0,0,0,0,0,9970.32,0,101486,27564,139020.32,2,0,2,1,1,6,,2900000,2,2,,,,,,1,1,3,5,3,4,3,,,1,,,,4,4,14,4,2,,118,3,5,5,2,2,2,1,2,1,1,2,1,1,,,,1,3,5,3,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,99999998,2,2,10,1,2,2015,11,2600000,1,,,,,,,,2,2,
368,,5,2017,866.8765981,0,0,0,48000,0,0,0,0,0,0,48368,55128,151496,2,0,2,1,1,,,3500000,1,1,1,2,1,2,2,1,1,5,3,2,2,1,1,,1,,2,2,2,3,3,2,2,,120,1,5,4,1,1,2,1,3,1,1,1,1,2,,,,1,3,,,,,,,,,,,,,,,,,,,,,,9,1,2,2009,10,2500000,1,,,,,,,,,,
369,,5,2017,394.1373289,0,0,0,0,0,0,0,0,0,0,84000,79128,283128,2,0,2,1,1,,,99999998,1,1,1,2,1,2,2,1,1,4,2,3,4,3,1,,1,,2,2,4,4,7,4,2,,90,4,3,3,1,2,2,2,2,2,,1,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,5,1,1,99999998,99999998,240000,1,,,,,,,,,,
370,,5,2017,587.0694831,0,0,0,0,0,0,0,0,0,0,111775,29051,476736,2,0,2,1,1,,1300,99999998,1,1,1,2,1,2,2,1,1,3,4,3,2,2,1,,1,,2,2,8,,,,2,,99999998,,5,5,2,2,2,1,2,1,2,0,1,1,,,,2,2,,,,,,,,,,,,,,,,,,,,,,2,1,3,1950,99999998,99999998,,,,,,,,,,,
372,,5,2017,624.2358584,0,0,0,0,0,0,0,0,0,0,162281,56496,218777,2,0,2,1,1,,500,1800000,1,2,,,,,,1,1,5,3,3,3,4,1,,1,,2,2,8,,,,1,,176,3,5,3,2,1,2,2,3,2,,0,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,1984,99999998,4,99999998,,99999998,,,,
373,,5,2017,951.5330225,0,0,0,0,0,0,0,0,0,0,71673,68712,140385,2,0,2,1,1,,,4000000,1,1,1,2,1,2,2,1,2,2,3,3,3,4,1,,1,,2,2,6,,,,1,,140,4,5,4,1,2,2,1,3,2,,0,,,1,1,20,2,3,,,,,,,,,,,,,,,,,,,,,,5,1,2,1982,7,99999998,,,,,,,,,,,
374,,5,2017,634.355338,0,0,0,0,0,0,0,0,0,0,0,55120,55120,2,0,2,1,1,,170,99999998,1,1,2,2,1,2,2,1,2,5,3,4,3,3,1,,1,,2,2,7,,,,2,,99999998,,5,5,2,1,1,2,3,1,1,0,1,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,5,1,1,1988,99999998,99999998,,,,,,,,,,,
375,,5,2017,728.396356,0,0,0,0,0,0,0,0,0,0,0,60448,136466,4,0,4,1,3,,493,4000000,1,1,4,2,1,1,2,1,2,4,3,4,4,3,1,,1,,2,2,7,,,,1,,247,3,5,5,1,1,2,2,2,2,,0,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,,,,,,,,,
376,,5,2017,420.0789524,0,0,0,0,0,0,0,0,0,0,0,0,118303.6111,1,0,1,1,0,,,,1,2,,,,,,1,2,5,2,2,1,5,,1,2,5450,,,4,4,3,3,2,,95,4,4,2,2,2,2,2,2,,,1,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,,5,2017,657.1140487,0,0,0,0,0,0,0,0,0,0,12000,27564,105888,1,0,1,0,1,,,99999998,1,2,,,,,,2,,3,3,3,2,2,1,,1,,2,2,4,4,4,3,2,,88,4,4,1,2,2,2,2,1,2,,0,2,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,4,1,1,1988,7,64000,2,,,,,,,,,,
380,,5,2017,495.8116783,0,0,0,3000,0,0,0,0,0,0,0,0,100920,1,0,1,1,0,,,1600000,1,2,,,,,,2,,5,99999998,3,1,2,1,,1,,2,2,4,1,4,2,2,,45,3,2,2,1,2,2,2,1,2,,1,2,,1,1,2,2,3,,,,,,,,,,,,,,,,,,,,,,8,1,1,2009,9,1200000,1,,,,,,,,,,
384,,5,2017,669.5943154,0,0,0,0,0,0,0,0,0,0,0,0,120000,1,0,1,1,0,,,,2,2,,,,,,1,1,2,2,2,3,3,,,2,2800,,,4,1,2,1,1,,56,3,2,1,2,2,2,2,1,2,,0,,,2,,,2,3,6,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,99999998,,,,,,,,,,,,,,,,
385,,5,2017,854.0196705,0,0,0,0,0,0,0,0,0,0,0,27564,27564,1,0,1,0,1,5,,1300000,2,2,,,,,,2,,3,99999999,3,4,99999999,,,1,,,,4,2,5,3,1,,99999998,,3,3,2,2,2,1,2,1,1,1,,,2,,,1,3,99999998,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,9,1,2,99999998,99999998,99999998,,,,,,,,,2,2,
386,,5,2017,376.9057266,0,0,0,0,0,0,0,0,0,0,61244,48907,110601,2,0,2,1,1,,,1300000,2,2,,,,,,1,1,4,3,3,4,3,,,1,,,,4,2,4,4,2,,74,1,3,3,2,2,2,2,2,2,,0,2,,,,,3,3,99999998,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,1,1,1978,99999998,99999998,,,,,,,,,2,2,
390,,5,2017,1766.538178,0,0,0,240000,0,0,0,0,0,0,0,55303,295303,2,0,2,1,1,,8000,99999998,1,1,1,2,1,2,2,1,5,3,99999998,3,99999998,2,1,,1,,2,2,8,,,,2,,170,3,5,5,2,1,2,1,2,2,,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,3,1,1,1977,1,750000,7,,,,,,,,,,
392,,5,2017,725.2559513,0,0,0,0,0,0,0,0,0,0,0,57876,629782,2,0,2,1,1,,750,99999998,2,1,1,2,1,2,2,1,2,4,3,3,2,2,,,1,,,,8,,,,1,,208,4,5,5,1,1,2,1,3,1,1,0,,,,,,2,3,4,3,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,99999998,2,,,,,,1995,1,1,99999998,,99999998,,2,2,
393,,5,2017,884.6208517,0,0,0,0,0,0,0,0,0,0,0,4056,64056,5,2,3,2,1,,,2800000,1,2,,,,,,1,1,3,3,3,3,3,1,,1,,2,2,4,1,3,3,2,,70,4,3,3,2,2,2,2,1,2,,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,99999998,1,2,99999998,99999998,99999998,,,,,,,,,,,
394,,5,2017,640.9558109,0,0,0,0,0,0,0,0,0,0,358243,57935,416178,2,0,2,1,1,,,99999999,1,2,,,,,,1,2,4,3,3,2,4,1,,1,,2,2,5,,,,2,,220,3,5,5,1,1,2,1,3,2,,0,1,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,3,1,1,1984,99999998,99999998,,,,,,,,,,,
396,,5,2017,444.4774688,0,0,0,0,0,0,0,0,0,0,62400,42714,109214,1,0,1,0,1,,,,1,2,,,,,,1,1,4,3,3,2,2,,,6,,,,5,,,,2,,62,4,2,2,2,2,2,2,2,,,0,1,1,1,1,99999998,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,,5,2017,1138.504798,0,0,0,0,0,0,0,0,0,0,0,6312,342312,5,3,2,1,1,,,2600000,1,1,1,2,1,2,2,1,2,4,3,3,2,2,,,1,,,,6,,,,1,,170,4,5,4,1,1,2,2,3,1,1,0,,,1,1,25,2,3,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,1,1,2016,4,2160000,1,,,,,,,,2,2,
398,,5,2017,854.0196705,0,0,0,0,0,0,0,0,0,0,0,37884,37884,1,0,1,0,1,1,,99999998,1,1,4,2,1,1,2,2,,1,99999998,3,3,3,1,,1,,2,2,4,2,3,3,2,,99999998,,3,2,2,2,2,2,1,1,2,1,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,99999998,1,1,1946,99999998,6000,7,,,,,,,,,,
401,,5,2017,572.1075178,0,0,0,0,0,0,0,0,0,0,102000,47182.5,161682.5,2,0,2,1,1,,,2000000,1,2,,,,,,1,1,4,3,2,3,3,1,,1,,2,2,4,5,1,2,2,,127,3,4,4,2,1,2,2,3,2,,0,2,,1,1,323,1,3,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,1986,8,1,10000,2,51000,2,,,
402,,5,2017,592.4375406,0,0,0,0,0,0,0,0,0,0,3315,58428,61743,2,0,2,1,1,,,1500000,1,2,,,,,,1,1,3,3,3,99999999,3,1,,1,,2,2,2,2,2,2,1,,120,4,4,1,2,1,2,1,3,2,,0,,,1,2,40,2,3,,,,,,,,,,,,,,,,,,,,,,3,1,1,1986,4,40000,2,,,,,,,,,,
403,,5,2017,588.8460784,0,0,0,0,0,0,0,0,0,0,111540,39027,237538,2,0,2,1,1,,1000,99999998,1,2,,,,,,1,1,5,3,3,3,3,1,,1,,2,2,8,,,,2,,140,4,4,3,2,1,2,1,3,1,2,0,1,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,1982,5,1,99999998,,99999998,,,,
404,,5,2017,546.2354217,0,0,0,0,0,0,0,0,0,0,72000,44752,233195,2,0,2,1,1,,,2000000,1,2,,,,,,1,1,3,3,3,4,4,1,,1,,2,2,5,,,,2,,180,4,5,3,2,2,2,1,3,2,,0,1,1,1,1,160,2,3,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,1980,5,1,99999998,,100000,2,,,
405,,5,2017,510.8947221,0,0,0,0,0,0,0,0,0,0,138623,63384,212207,2,0,2,1,1,,,99999998,1,2,,,,,,1,1,2,3,3,1,2,,,1,,,,5,,,,2,,63,4,3,3,2,2,1,1,2,2,,0,1,1,1,2,15,2,3,,,2,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,5,4,,,,,,,,,,,,,2,2,
406,,5,2017,773.7568103,0,0,0,0,0,0,0,0,0,0,0,67743,94143,5,2,3,2,1,,,,1,2,,,,,,2,,2,3,3,4,3,,,2,580,,,4,2,4,2,2,,52,4,3,3,1,2,2,2,1,2,,0,1,1,,,,3,3,6,2,2,2,2,1,2,2,2,2,1,1,2,1,2,2,2,1,2,2,1,3,,,,,,,,,,,,,,,,
407,,5,2017,193.5636369,0,0,0,0,0,0,0,0,0,0,48000,27564,138799,1,0,1,1,0,,,99999998,1,2,,,,,,1,1,1,3,2,2,2,1,,,,2,2,6,,,,2,,65,4,3,2,2,2,1,2,2,2,,0,1,1,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,,5,2017,397.9784089,0,0,0,0,0,0,0,0,0,0,78000,52151,130151,2,0,2,1,1,,,,2,1,4,2,2,1,2,2,,1,3,3,3,3,,,2,12000,,,4,8,8,5,2,,75,4,3,2,2,2,2,2,2,2,,3,1,1,,,,1,3,5,3,2,1,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,99999998,,,,,,,,,,,,,,,,
411,,5,2017,474.6992571,0,0,0,0,0,0,0,0,0,0,25413,54756,80169,2,0,2,1,1,,,99999998,1,2,,,,,,1,1,3,3,3,3,3,1,,1,,2,2,4,2,4,4,2,,100,3,3,2,1,2,2,2,2,1,2,1,1,1,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,7,1,1,2003,11,182000,2,,,,,,,,,,
412,,5,2017,309.4037018,120000,0,0,0,0,0,0,0,0,0,0,54534,224534,2,0,2,1,1,,,4000000,2,1,4,2,1,1,2,1,1,5,3,3,4,3,,,1,,,,4,4,16,4,2,,124,1,5,4,1,1,2,2,3,1,1,2,2,,,,,1,1,6,4,2,1,1,2,2,2,1,2,2,1,2,1,1,2,1,2,2,1,2,5,1,2,99999998,99999998,99999998,,,,,,,,,2,2,
415,,5,2017,523.1606477,0,0,0,24000,0,0,0,0,0,0,0,1800,734592,3,1,2,1,1,,,1700000,1,2,,,,,,1,1,2,3,3,2,2,1,,1,,2,2,4,2,4,2,2,,87,1,4,4,1,2,2,1,2,1,2,1,1,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,10,1,2,2014,5,1330000,1,,,,,,,,,,
416,,5,2017,452.769833,0,0,0,28800,0,0,0,0,0,0,179277,68604,276681,2,0,2,1,1,,,2250000,1,2,,,,,,1,2,4,3,4,4,3,1,,1,,2,2,6,,,,2,,169,3,5,5,2,1,2,2,3,1,1,0,2,,1,1,160,1,3,,,,,,,,,,,,,,,,,,,,,,6,1,2,1990,99999998,220000,2,,,,,,,,,,
417,,5,2017,445.3720617,0,0,0,0,0,0,0,0,0,0,45278,40572,85850,1,0,1,0,1,,,,1,1,1,2,1,2,2,1,1,2,3,3,3,3,,,6,,,,4,1,3,1,2,,100,4,4,2,1,2,2,1,2,,,0,1,2,1,1,99999998,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,,5,2017,1074.253916,0,0,0,0,0,0,0,0,0,0,110962,68210.66667,779172.6667,2,0,2,1,1,,500,99999998,1,1,1,2,1,2,2,1,2,4,3,3,2,2,1,,1,,2,2,8,,,,2,,140,3,5,4,2,2,2,1,2,2,,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,1980,6,1,120000,1,2000000,1,,,
420,,5,2017,689.9895596,0,0,0,0,0,0,0,0,0,0,72000,29112,101112,3,0,3,2,1,3,,99999998,1,1,4,2,1,1,2,2,,5,3,3,4,4,1,,1,,2,2,4,1,7,2,2,,102,3,5,3,2,2,2,2,2,2,,0,1,1,2,,,2,1,,,,,,,,,,,,,,,,,,,,,,4,1,2,1973,99999998,99999998,,,,,,,,,,,
421,,5,2017,652.978425,0,0,0,0,0,0,0,0,0,0,66000,76932,142932,1,0,1,1,0,,,99999998,1,1,1,2,1,2,2,1,1,5,3,3,2,2,1,,1,,2,2,4,2,6,3,1,,100,4,4,4,1,1,2,2,2,1,2,0,,,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,5,1,2,1979,7,630000,8,,,,,,,,,,
422,,5,2017,1928.555483,0,0,0,0,0,0,0,0,0,0,40800,39162,79962,1,0,1,0,1,,,99999998,1,2,,,,,,2,,3,3,3,3,2,1,,1,,2,2,4,2,6,3,2,,92,1,4,3,1,2,1,2,1,2,,0,2,,2,,,3,3,,,,,,,,,,,,,,,,,,,,,,4,1,2,1973,12,72000,7,,,,,,,,,,
424,,5,2017,910.4260572,0,0,0,0,0,0,0,0,0,0,0,2834,212834,3,1,2,1,1,,74,99999998,1,2,,,,,,1,1,5,3,3,2,2,1,,1,,2,2,8,,,,2,,74,4,4,3,2,1,2,2,2,2,,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,8,4,,,,,,,,,,,,,,,
425,,5,2017,650.6690327,0,0,0,0,0,0,0,0,0,0,3858,37872,41730,1,0,1,1,0,,,99999998,1,1,4,2,1,1,2,2,,2,4,3,4,3,1,,1,,2,2,4,4,4,3,2,,60,3,3,3,2,2,2,2,1,2,,1,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,3,1,2,1980,1,99999998,,,,,,,,,,,
427,,5,2017,634.355338,0,0,0,0,0,0,0,0,0,0,48000,60159,108159,2,0,2,1,1,,,99999998,1,1,1,2,1,2,2,1,1,3,4,4,4,4,1,,1,,2,2,4,2,4,3,2,,60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,99999998,99999998,99999999,,,,,,,,,,,
429,,5,2017,634.355338,0,0,0,0,0,0,0,0,30000,0,180433,56719,267152,2,0,2,1,1,,,4000000,1,1,1,2,1,2,2,1,1,5,4,3,4,4,1,,1,,2,2,3,2,5,3,2,,135,3,4,4,1,1,2,1,2,1,1,1,1,1,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,8,1,2,2003,5,1800000,1,,,,,,,,,,3
430,,5,2017,389.7103909,0,0,0,0,0,0,0,0,0,0,117607,27564,145171,1,0,1,1,0,,25000,99999998,1,2,,,,,,1,1,3,3,3,3,3,1,,1,,2,2,8,,,,2,,180,3,5,1,2,1,2,2,3,2,,0,1,1,,,,2,3,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,99999998,99999998,2,99999998,,99999998,,,,
434,,5,2017,951.5330225,0,0,0,0,0,0,0,9000,0,0,0,58950,555532,2,0,2,1,1,,500,8000000,1,2,,,,,,1,2,5,3,4,3,2,1,,1,,2,2,8,,,,2,,200,3,5,5,1,2,1,2,3,1,1,0,2,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,5,1,1,1980,99999998,99999998,,,,,,,,,,,
436,,5,2017,815.3948214,0,0,0,0,0,0,0,0,0,0,89391,25506,232776,3,0,3,2,1,1,,99999998,1,2,,,,,,1,1,2,3,3,4,3,1,,1,,2,2,4,4,8,4,2,,104,3,4,3,1,1,2,1,2,1,1,1,1,1,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,9,1,2,2008,9,1100000,1,,,,,,,,,,
437,,5,2017,861.3515919,0,0,0,0,0,0,0,0,0,0,0,27648,27648,1,0,1,0,1,,,99999998,1,1,1,2,1,1,2,2,,6,2,3,4,3,1,,1,,2,2,4,3,4,3,2,,99999998,,3,3,2,2,2,1,1,2,,0,1,1,2,,,2,3,,,,,,,,,,,,,,,,,,,,,,99999998,1,1,1974,99999998,99999998,,,,,,,,,,,
438,,5,2017,431.5258543,0,0,0,0,0,0,0,0,0,0,13680,203580,217260,1,0,1,0,1,,,99999998,1,1,1,2,1,2,2,1,1,5,4,4,2,2,1,,1,,2,2,3,2,2,1,2,,150,3,5,4,2,2,1,2,2,2,,0,1,2,,,,1,3,,,,,,,,,,,,,,,,,,,,,,2,1,1,1969,99999998,23000,7,,,,,,,,,,
440,,5,2017,616.9254243,0,0,0,0,0,0,0,0,0,0,102743,55128,157871,2,0,2,1,1,,,2600000,1,2,,,,,,1,1,3,3,3,1,2,1,,1,,2,2,4,4,8,4,2,,120,4,4,3,1,1,2,1,2,1,2,2,1,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,9,1,1,2015,8,99999999,,,,,,,,,,,
441,,5,2017,657.1140487,0,0,0,0,0,0,0,0,0,0,63600,41724,105324,1,0,1,0,1,,,99999998,1,1,1,2,1,2,2,2,,4,3,3,3,3,1,,1,,2,2,4,3,9,4,2,,140,1,4,4,1,2,2,2,2,2,,1,2,,2,,,3,3,,,,,,,,,,,,,,,,,,,,,,5,1,2,1979,8,99999998,,,,,,,,,,,
442,,5,2017,961.433732,0,3000,0,90000,0,0,0,0,0,0,101318,54258,332576,2,0,2,1,1,,,3500000,1,1,1,2,1,2,2,1,2,5,3,3,3,2,1,,1,,2,2,4,3,13,4,2,,140,4,5,4,1,2,2,2,3,1,2,2,2,,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,6,1,2,1986,12,177100,1,,,,,,,,,,4
443,,5,2017,597.9046535,0,0,0,0,0,0,0,0,0,0,70094,47134,162828,2,0,2,1,1,1,,750000,1,2,,,,,,1,1,2,3,3,4,3,1,,1,,2,2,4,4,4,3,2,,81,1,4,4,1,2,2,1,2,2,,0,2,,2,,,1,3,,,,,,,,,,,,,,,,,,,,,,5,1,2,1983,99999998,13800,8,,,,,,,,,,
444,,5,2017,587.4084549,0,0,0,0,0,0,0,0,0,0,33600,64882,98482,2,0,2,1,1,,,2300000,1,1,1,2,1,2,2,1,1,5,3,3,4,3,1,,1,,2,2,1,2,9,4,2,,153,1,5,3,1,1,2,1,3,1,2,2,1,1,,,,1,3,,,,,,,,,,,,,,,,,,,,,,10,1,2,2013,12,1500000,1,,,,,,,,,,
446,,5,2017,308.1807094,0,0,0,0,0,0,0,0,0,0,0,23084.66667,156584.6667,7,4,3,1,2,3,,2000000,2,2,,,,,,1,1,3,99999998,3,99999998,5,,,1,,,,4,2,3,3,2,,100,3,5,4,2,2,1,1,3,2,,1,1,2,,,,2,1,6,3,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,6,1,1,2008,2,99999998,,,,,,,,,2,2,
447,,5,2017,1857.648813,0,0,0,0,0,0,0,0,0,0,0,5019,197019,2,1,1,1,0,,,1600000,2,2,,,,,,1,1,1,2,4,3,2,,,1,,,,4,2,3,2,2,,100,4,5,4,1,1,2,2,2,1,2,1,1,1,,,,1,3,6,2,2,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,9,1,2,2008,99999998,500000,1,,,,,,,,2,2,
