Siduri,SiduriMakorPitzul,wave,s_seker,MishkalMb,HRibitShnatit,HHashkaotShnatit,HDividendShnatit,HSchirutShnatit,HEsekShnatit,sumHAnashimShnatit,sumHGemelShnatit,sumHHishShnatit,sumHHulShnatit,sumHMilgaShnatit,sumHPensiaShnatit,sumHMosdotShnatitnew,SacShnatikolel_Lembnew,zkifa_PensiaLemb,SachNefashot,Nefashot0_17,Nefashot18up,Men18up,Women18up,AimShinuiKtovet,KesefHutzAcher,MeshivHitnahalut,m_SetachMigrashBayitprati,SugMatbeaHutzAcher,HaskaPikdon1,HaskaChisachon1,HaskaNeemanut1,HaskaLoNeemanut1,SchumHalvaaLoDiyur1,m_HalvaaDiyur,m_HalvaaLoDiyur,m_MisgeretAshrai,m_YeshAshrai,M_ShuviDira,YitraNEMenayotBAhuz1,YitraNEMenayotBSchum1,YitraNEAgachMemshaltiBAhuz1,YitraNEAgachMemshaltiBSchum1,Ozeret1,k_ShaotOzeret1,TahasokaAcheretOzeret1,TahasokaOzeretMesh1,TahasokaOzeretSiu1,TahasokaOzeretYeLed1,Meconit1,k_MispMeconiyot1,Sfarim1,meshiv_hacnasot,MazavKAtid1,MazavKAvar1,ChisachonAtid1,ChisachonHayom1,Meshiv_Nechasim,IdkunBaalut1,IdkunMegurimSchirut1,k_baalut1,m_DmeSchirutChodeshi,SinuyDira21,SinuyDiraP21,SugDira1,MisparKoma1,MspDirotBeKomatMegurim1,MispKomotBinyan1,MispDirotBinyan1,DiraMedurag1,SetachBayitpratY1,SetachDira1,MekorSetach1,K_MispHadarim1,K_MispHadarimMegurim1,MirpesetSherut1,ChederAronot1,MachsanBetochD1,MachsanMiD1,KamaSherutim1,ChanayaPratit1,AimMekura1,Maaliyot1,MirpesetChitzonit1,KamaMirpeset1,GinaPratit1,KamaGinaPratit1,GodelGinaPratit1,k_mizug1,HasakaPratit1,Kivun1,KamaKivun1,NofYam1,NofSetachYarok1,NofGag1,NofKvish1,NofRakevet1,NofAntena1,NofKvishPnimi1,NofSetachPatuch1,BaayaChoshech1,BaayaKvish1,BaayaRakevet1,BaayaMatos1,BaayaBiluy1,BaayaChinuch1,BaayaMifal1,BaayaZevel1,BaayaZihum1,ShanaBniya1,OfenBaalut1,Mocher1,ShanaRechishaK1,ChodeshRechishaK1,MechirKnuya1,MatbeaKnuya1,ShanaRechishaB1,ChodeshRechishaB1,OfenBaalutMigrash1,MechirBniya1,MatbeaBniya1,AlutBniya1,MatbeaAlutBniya1,HagdalatDira1,SinuyimPnimiimBDira1,ShuviDiraYoter1,BaalutDiraLLoBealim1,BaalutDiraLLoBealimKama1,AtidMechiraDira1,AtidMechiraDiraN1,BaalutDiraNosefet1,BaalutDiraNosefetKama1,DiraNosefet121,DiraNosefetP121,KarkaAcheret1,m_MechirDiraKnuyaB12,m_KesefKniyaAtidit,KarkaChaklait1,KarkaChaklaitSetach1,MdidaKarkaChaklait,KarkaLoChaklait1,KamaKarkaLoChaklait1,GodelKarkaLoChaklait1,MdidaKarkaLoChaklait,m_Mechirkarka,KibelMechirDiraN1,KniyaAtiditDira1,MechiraDiraNKama1,MechiraDiraNosefet1,ShuviDirotLoMegurim1,GemelVPizuyimMB1,BituachMenahalimMb1,kPensiaMB1,PikdonotMB1,TChisachonMB1,kHishMB1,kNeemanutMB1,Cluster2015,ADechiyaMoedTashlum1,AKredit1,APrisatTushlum1,CheshbonChasum1,HalvaaLoDiyurAcher1,HalvaaLoDiyurAshrai1,HalvaaLoDiyurAvoda1,HalvaaLoDiyurBank1,HalvaaLoDiyurBituach1,HalvaaLoDiyurLising1,HeviDoch1,KesefHutzD1,KesefHutzDinarY1,KesefHutzE1,KesefHutzL1,MatbeaChisachon1,MatbeaHutz1,MatbeaLoNeemanut1,MatbeaNeemanut1,MatbeaPikdon1,MenayotMB1,Minus1,PniyaBank1,ShiirochChisachonChodesh1,ShiirochChisachonShana1,ShiirochChisachonYom1,ShiirochLoNeemanutChodesh1,ShiirochLoNeemanutShana1,ShiirochLoNeemanutYom1,ShiirochNeemanutChodesh1,ShiirochNeemanutShana1,ShiirochNeemanutYom1,ShiirochPikdonChodesh1,ShiirochPikdonShana1,ShiirochPikdonYom1,SugCheshbon1,m_SchumHalvaaDiyur1,M_ChodashimMinus1,M_PeamimPniyaBank1,M_ChodashimCheshbonChasum1,m_KesefMB1,OmdanShuviDira
499,,6,2018,1390.572981,0,0,0,0,0,0,0,0,0,0,57759,19341,483040,1,2,0,2,1,1,1,,2,,,99999999,99999999,99999999,,10000,2,1,30000,1,1300000,,,,,2,,,,,,1,1,5,1,3,3,2,2,2,1,,1,,2,2,4,,2,3,2,2,,100,4,3,3,1,2,2,1,2,1,3,0,2,,2,,,1,1,7,3,1,2,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,4,1,1,2004,12,175000,2,,,,,,,,,,4,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,1,1,1,1,7,2,2,1,,2,2,2,1,2,2,,,,,,,2,,,,2,2,,0,,,,,,0,,,0,,,1,0,,,,4,1703429.123
500,,6,2018,700.8100033,0,0,0,0,0,54000,0,0,0,0,0,6685,60685,0,1,0,1,0,1,,,1,,,4000,,,,8000,2,1,5000,1,,,,,,2,,,,,,2,,2,1,3,4,4,3,1,,,2,35000,,,4,1,4,6,,2,,90,4,3,2,2,2,2,2,2,2,,1,2,,2,,,2,3,1,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,1,1,2,2,2,8,2,2,1,2,2,2,2,1,2,2,,,,,,,2,,,1,2,1,1,,,,,,,,,,6,2018,30,1,0,12,3,,1,
504,,6,2018,1404.239937,0,0,0,0,0,2160,0,0,0,0,0,0,293100,0,2,0,2,1,1,1,,1,,,99999999,,,,,2,2,99999998,1,99999998,,,,,2,,,,,,1,1,5,1,3,3,3,2,1,1,,1,,2,2,4,,4,7,4,2,,90,4,4,2,1,2,2,1,2,2,,1,2,,,,,2,3,2,3,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,5,1,2,1985,99999998,65000,2,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,1,1,1,1,2,2,2,2,2,1,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,0,,,1,0,,,,2,2197531.29
510,,6,2018,1092.208513,0,0,0,0,0,7000,0,0,0,0,0,14040,168843,0,3,0,3,1,2,2,,1,,,,30000,,,,2,2,3000,1,,,,,,2,,,,,,2,,2,1,99999998,4,99999998,4,1,,,2,3400,,,4,4,2,5,,2,,92,3,5,3,2,2,2,2,2,2,,0,2,,2,,,2,3,1,1,2,1,1,2,2,1,1,2,2,2,2,2,1,2,2,2,2,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,1,1,1,2,1,1,2,5,2,2,1,2,,,,,,,,,,,,1,2,,,,2,1,2,6,2018,27,,,,,,,,,,1,0,3,,,1,
511,,6,2018,712.6812773,0,0,0,0,0,0,0,0,0,0,0,2931,259706.0909,0,5,1,4,2,2,1,,1,,,,99999998,,,,2,2,20000,1,99999998,,,,,2,,,,,,1,2,5,1,3,3,4,3,1,1,,1,,2,2,5,,,,,2,,300,4,5,5,2,2,2,1,4,1,2,0,,,,,,2,3,6,4,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,1,1,2,1,2,2,8,2,2,1,2,,,,,,,,,,,,,2,,,,2,1,1,0,,,,,,,,,,,,2,0,1,4,,1,
512,,6,2018,595.4250338,0,0,0,0,0,0,0,0,0,0,0,1350,277350,0,5,1,4,2,2,1,,1,,,80000,250000,,250000,60000,1,1,25000,1,1800000,,,,,2,,,,,,1,1,5,1,1,3,2,2,1,1,,1,,2,2,4,,2,5,2,2,,80,3,4,3,1,2,2,1,2,2,,0,2,,1,1,15,2,3,6,2,2,2,1,2,2,1,1,2,2,1,2,2,2,2,2,2,1,6,1,1,1997,8,210000,2,,,,,,,,,,3,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,1,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,,,,,1,2,1,,1,1,1,2,10,2018,7,10,2018,7,,,,10,2018,7,1,25000,6,,,4,1411739.072
513,,6,2018,662.5595654,0,0,0,0,0,0,0,0,35880,0,0,30919,144199,0,3,0,3,1,2,1,,2,,,,,,,30000,2,1,20000,1,2500000,,,,,1,4,2,1,1,2,1,1,5,2,3,3,3,3,2,1,,1,,2,2,4,,2,4,3,2,,100,3,5,4,1,1,2,1,2,1,2,2,1,1,2,,,1,2,5,3,2,2,1,2,2,2,1,2,2,1,2,1,2,1,2,2,2,4,1,2,1970,4,99999998,,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,,,,,,,2,,,,2,1,2,,,,,,,,,,,,,2,0,9,,,1,2583956.195
516,,6,2018,2514.952099,0,0,0,0,0,0,0,0,0,0,93600,30636,124236,0,1,0,1,0,1,1,,1,,,300000,,,300000,,2,2,99999998,1,1800000,100,,,,2,,,,,,1,1,6,1,3,3,2,2,1,2,,3,,,,4,5,2,6,,2,,60,1,3,3,1,2,2,1,1,1,1,1,1,,2,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99999998,,,,,2,,2,,2,,,2,,,2,,,,,,2,,2,,1,2,1,1,2,1,2,2,2,2,2,,,,,,,,,4,,,,,1,1,,1,1,2,,,,,7,2018,25,,,,7,2018,25,1,0,,,,5,
518,,6,2018,1097.630848,0,0,0,0,0,0,0,0,24000,0,45600,28555.5,98155.5,0,1,0,1,0,1,1,,1,,,,40000,,55385,,2,2,30000,1,99999998,,,,,2,,,,,,2,,5,1,4,4,3,3,1,1,,1,,2,2,4,,2,4,2,2,,109,3,4,4,1,2,2,1,1,2,,1,2,,2,,,2,3,5,3,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,4,1,3,1969,11,28000,7,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,1,2,2,7,2,1,1,,,,,,,,,,,,,1,2,1,,,1,2,,8,2018,27,8,2018,27,,,,,,,1,0,,,,3,
519,,6,2018,767.0132122,0,0,0,0,0,0,0,0,0,0,0,40919.16667,158419.6611,0,4,2,2,1,1,,,6,470,,99999999,99999998,,,99999999,2,1,99999999,1,99999998,,,,,2,,,,,,1,1,5,6,3,3,1,2,6,,,1,,,,8,,,,,2,2,140,3,5,3,2,1,1,1,3,1,2,0,1,,1,,100,2,3,2,99999998,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,6,1,1,2014,6,99999999,,,,,,,,,2,2,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,1,1,1,2,7,2,2,1,,2,2,2,1,2,2,,,,,,,99999998,,,,2,2,,0,,,,,,,,,0,,,1,0,,,,99999998,
523,,6,2018,803.7049967,0,0,0,0,0,0,0,0,0,0,0,0,309479,0,3,0,3,1,2,1,,2,,,150000,,,,,1,2,99999998,1,,,,,,1,1,2,1,2,2,1,1,4,2,3,3,4,3,2,,1,2,4400,,,4,,4,4,3,2,,86,2,4,4,2,2,2,2,2,,,0,2,,2,,,2,3,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,1,1,,2,,,2,,2,,,2,,,2,,,,,,2,,2,99999998,1,2,1,1,2,1,2,8,2,2,1,,,,,,,,2,,,,,,2,,,1,2,2,,,,,,,,,,,5,2018,31,1,300000,,,,1,
524,,6,2018,828.3355507,0,0,0,0,0,0,0,0,0,0,0,29789.66667,113789.6667,0,1,0,1,0,1,1,,2,,,,,,,,2,2,0,1,99999998,,,,,1,1,2,1,2,2,2,,5,2,3,4,3,4,2,1,,1,,2,2,4,,2,7,4,2,,106,1,4,4,1,1,2,2,2,2,,2,2,,2,,,2,3,7,4,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,,6,1,1,2009,10,1145000,1,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,2,2,2,1,2,6,2,2,2,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,5,2076565.284
525,,6,2018,1059.314094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2,2,,,2,,,,,,,,2,2,99999998,1,99999998,,,,,2,,,,,,1,1,3,2,3,3,99999998,99999998,2,,,1,,,,4,0,2,3,,2,,99999998,,3,2,2,2,2,2,1,2,,0,,,2,,,2,3,4,3,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,99999998,4,1,1,1997,99999998,99999998,,,,,,,,,2,2,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,99999998,99999998,99999998,99999998,99999998,99999998,99999998,5,99999999,99999998,99999998,,,,,,,,,,,,,,2,,,,99999998,99999998,,,,,,,,,,,,,,1,0,,,,99999998,
528,,6,2018,380.9881565,0,0,0,0,0,0,0,0,0,0,0,0,514615,0,2,0,2,1,1,1,,1,,,99999998,99999998,,,,1,2,30000,1,3000000,,,,,1,1,2,1,2,2,1,2,5,1,3,3,99999998,2,1,1,,1,,2,2,4,,4,8,4,2,,160,3,5,5,1,1,2,2,3,1,1,1,2,,2,,,1,3,4,3,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,4,1,1,1990,1,160000,2,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,1,1,1,2,99999998,,2,,2,,1,1,1,1,1,1,2,9,2,2,2,2,,,,,,,2,4,,,,,1,,,,2,1,2,0,,,,,,,,,0,,,1,20000,1,,,5,3479394.053
529,,6,2018,446.8595994,0,0,0,0,0,0,0,0,0,0,172264,0,172264,1,2,0,2,1,1,1,,1,,,,,,,,2,2,10000,1,99999998,,,,,1,1,2,1,2,2,1,1,3,1,99999998,4,4,3,1,1,,1,,2,2,2,,2,3,2,2,,135,3,4,3,2,1,2,2,2,1,2,1,2,,1,1,12,1,3,4,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,7,1,2,1998,2,180000,2,,,,,,,,,,,2,,2,,,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,5,2,2,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,3,2148808.574
531,,6,2018,750.3338655,0,0,0,0,0,0,0,0,17062.974,0,0,21930,38992.974,0,2,0,2,1,1,1,,1,,,,,,,,2,2,99999998,1,1900000,,,,,2,,,,,,2,,4,1,4,4,2,4,1,1,,1,,2,2,4,,2,4,3,2,,88,3,3,1,1,2,2,2,1,2,,0,2,,2,,,2,3,4,3,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,1,1,3,1,1,1985,12,47000,2,,,,,,,,,,3,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,6,2,2,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,4,1443154.916
532,,6,2018,750.7988719,0,1800,0,0,0,0,0,0,0,0,43800,0,315600,0,2,0,2,1,1,1,,2,,,800,,,800,,2,2,35000,1,1300000,30,,50,,2,,,,,,1,1,3,2,3,2,1,2,2,1,,1,,2,1,6,,,,,1,,168,3,,,,,,,,,,,,,,,,,,6,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,5,1,4,2012,99999998,248000,1,,,,,,,,,,3,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,1,2,1,2,7,2,2,1,,,,,,,,,2,,,,,1,1,,1,1,2,,,,,8,2018,2,,,,8,2018,2,1,0,,,,5,
537,,6,2018,589.2327104,0,0,0,0,0,0,0,0,0,0,120000,19344,139344,0,1,0,1,0,1,1,,1,,,,300000,,,,2,2,4000,1,1200000,,,,,1,1,2,1,2,2,1,1,5,1,3,3,1,2,1,1,,1,,2,2,4,,4,9,4,2,,88,1,4,3,1,2,2,2,2,1,2,2,1,1,2,,,1,3,4,2,2,1,1,2,2,,1,2,2,2,2,2,2,2,2,2,2,6,1,1,2004,8,154000,2,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,1,2,1,2,2,7,2,2,1,,,,,,,,,3,,2,,1,1,,,,2,2,,9,2018,5,,,,,,,,,,1,0,,,,5,1498789.948
538,,6,2018,808.5407721,0,0,0,0,0,0,0,0,0,0,0,0,113425,0,2,0,2,1,1,2,,1,,,,,,,20000,2,1,30000,1,,,,,,2,,,,,,2,,1,1,2,2,2,2,1,,,2,3600,,,4,0,2,4,,2,,75,2,4,4,2,1,2,2,1,2,,0,2,,2,,,2,3,6,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,1,99999998,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,1,1,1,2,2,1,99999998,7,2,1,1,2,2,2,2,1,2,2,,1,,,,,1,,,,2,1,2,,,,,,,,,,,,,1,0,6,,,4,
539,,6,2018,1601.418461,0,0,0,0,0,0,0,0,0,0,0,59417,325252,0,4,2,2,1,1,1,,1,,,,,,,,2,2,10000,1,99999998,,,,,2,,,,,,1,2,2,1,3,3,4,3,1,1,,1,,2,2,4,,3,5,3,2,,65,1,3,3,2,2,2,2,2,1,1,1,1,1,,,,2,3,6,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,1,2,6,1,1,2013,4,1300000,1,,,,,,,,,,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,1,2,2,2,1,2,8,2,2,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,2,1371377.707
542,,6,2018,923.13122,0,0,0,32400,0,0,0,0,0,0,0,14590,190990,0,2,0,2,1,1,1,,1,,,,,,,10000,1,1,10000,1,1500000,,,,,1,1,2,1,2,2,1,2,5,1,3,3,4,3,1,1,,1,,2,2,5,,,,,2,,250,3,5,5,2,1,2,1,4,1,2,0,1,1,,,,2,2,6,3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,1,1,1982,99999998,99999998,,,,,,,,,,,99999998,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,1,2,2,99999998,2,2,4,2,2,1,2,2,2,2,1,2,2,2,,,,,,2,,,,2,1,2,,,,,,,,,,,,,2,300000,4,,,4,1654820.947
543,,6,2018,719.9706382,0,0,0,28800,0,0,0,0,0,0,0,13818,198618,0,2,0,2,1,1,1,,2,,,,,100000,,,2,2,15000,1,1800000,,,,,1,1,2,1,2,2,1,2,5,2,3,3,1,2,2,1,,1,,2,2,4,,4,7,4,2,,100,3,,,,,,,,,,,,,,,,,,4,2,2,2,1,2,2,,1,2,2,2,2,1,2,1,2,2,2,4,1,1,1994,9,157000,2,,,,,,,,,,,1,0.5,2,2,,,,2,2,,,2,,,2,,,,,,2,,2,,1,1,2,2,2,1,1,7,2,2,1,,,,,,,,,,,1,,,1,,1,,2,2,,,,,,,,7,2018,11,,,,1,0,,,,5,
545,,6,2018,572.2874234,0,0,0,54000,0,0,0,0,0,0,36000,27636,117636,0,2,0,2,1,1,1,1500,1,,,100000,,,100000,,2,2,40000,1,3500000,,,,,2,,,,,,1,1,5,1,3,3,1,2,1,1,,1,,2,2,4,,2,13,4,1,,173,4,5,3,1,1,2,1,3,1,2,2,,,2,,,1,1,6,3,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,2,10,1,2,2013,3,2200000,1,,,,,,,,,,,1,1,2,2,,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,1,2,1,2,7,2,2,1,2,,,,,,,,4,,,,,1,1,,1,1,1,2,,,,7,2018,2,,,,7,2018,2,1,0,3,,,5,2945473.499
546,,6,2018,971.6251803,0,0,0,0,0,0,0,0,0,0,0,3585,406139.6667,0,8,4,4,2,2,1,,1,,,20000,99999998,99999998,,,2,2,99999998,1,780000,,,,,2,,,,,,1,1,5,1,3,1,2,2,1,1,,1,,2,2,4,,2,4,4,2,,96,3,4,4,2,2,2,2,2,2,,0,2,,2,,,2,3,5,3,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,2,4,3,,,,,,,,,,,,,,,1,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,1,1,1,1,1,1,5,2,2,1,,,,,,,,,,,,,,2,,,1,99999998,2,,0,,,,,,0,,,6,2018,25,1,0,,,,5,985913.921
547,,6,2018,615.7555061,0,0,0,292200,0,325000,0,0,0,0,0,0,809200,0,2,0,2,1,1,1,,2,,,,,,1400000,,2,2,20000,1,2500000,100,,99999998,,2,,,,,,1,2,4,2,3,3,4,3,2,1,,1,,2,2,4,,4,7,4,2,,157,4,5,2,1,2,2,1,2,1,2,2,1,1,2,,,1,3,6,3,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,9,1,2,2006,7,1300000,1,,,,,,,,,,99999998,,,99999998,99999998,1,5,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,2,2,1,2,7,2,2,1,,,,,,,,,1,,,1,,1,1,,,1,2,,,,,6,2018,27,,,,,,,2,0,,,,5,3395630.924
548,,6,2018,295.3325103,0,0,0,0,0,0,0,80000,0,0,0,0,236000,0,2,0,2,1,1,1,,3,,,,,,,100000,2,1,10000,1,1400000,,,,,1,1,2,1,2,2,1,1,5,3,3,3,4,5,3,1,,1,,2,2,4,,4,3,3,2,,94,3,4,4,1,2,2,2,2,2,,1,2,,2,,,2,3,8,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,5,1,1,1988,10,76000,2,,,,,,,,,,3,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,2,2,1,2,7,2,1,1,2,2,1,2,1,2,2,,,,,,,2,,,,2,1,1,,,,,,,,,,,,,1,0,12,2,,1,1535719.766
551,,6,2018,524.1963569,0,0,0,120000,0,0,0,0,0,0,0,25477,815477,0,5,3,2,1,1,1,,1,,,,70000,,500000,,1,2,0,1,5000000,99,,1,,2,,,,,,1,2,5,1,3,2,2,1,1,1,,1,,2,2,4,,4,9,4,2,,130,3,5,5,1,1,2,1,3,1,1,2,1,2,2,,,1,1,4,3,2,1,2,1,2,2,1,2,2,1,2,2,2,2,2,2,1,8,1,1,2010,10,2700000,1,,,,,,,,,,3,,,2,2,1,1,,1,2,1000000,,2,,,2,,,,,,2,,2,99999998,1,1,1,2,1,1,2,8,2,2,1,,,,,,,,2,4,,,,1,1,1,,,1,2,,6,2018,30,6,2018,30,,,,,,,2,3800000,,,,5,4532992.932
552,,6,2018,750.3338655,0,0,0,0,0,0,0,0,0,0,113827,21163.5,134990.5,1,2,0,2,1,1,1,,1,,,,,,,,2,2,8000,1,1500000,,,,,1,4,2,1,1,2,2,,2,1,3,4,3,3,1,1,,1,,1,2,4,,2,7,3,2,,,,,,,,,,,,,,,,,,,,,4,4,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,6,1,2,1990,99999998,55000,2,,,,,,,,,,3,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,6,2,2,1,,,,,,,,,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,0,,,,3,1346574.409
553,,6,2018,1268.57685,0,0,0,0,0,0,0,0,0,0,0,36667.5,36667.5,0,1,0,1,1,0,1,,1,,,,,,,,2,2,1000,2,,,,,,2,,,,,,2,,2,1,99999998,3,4,3,1,,1,2,200,,,4,,2,4,5,2,,52,3,2,2,2,2,2,2,1,,,0,2,,2,,,3,3,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,2,,,,,,2,,2,,,2,,,2,,,,,,2,,2,,2,2,2,2,2,2,2,4,,,,2,,,,,,,,,,,,,2,,,,2,1,1,,,,,,,,,,,,,1,0,12,1,,1,
554,,6,2018,635.1502166,0,0,0,75600,0,0,0,0,0,0,0,4061,897164,0,5,2,3,1,2,1,,1,600,,99999998,99999998,,900000,,1,2,35000,1,99999998,40,,60,,1,1,2,1,2,2,1,3,4,1,1,1,1,1,1,1,,1,,2,2,8,,,,,1,3,186,1,5,5,2,1,1,2,3,1,2,0,,,,,,2,3,1,4,1,1,1,2,2,,1,1,1,2,2,2,2,2,2,2,2,7,1,2,1998,5,350000,2,,,,,,,,,,,1,1,2,2,,,,2,2,,,1,1000,1,2,,,,99999998,,2,,2,,1,1,1,1,1,1,2,8,2,2,1,2,,,,,,,2,4,,,4,,1,1,,,1,1,2,0,,,6,2018,28,,,,0,,,1,250000,1,,,1,2657365.49
555,,6,2018,818.8947545,0,0,0,0,0,0,0,0,0,0,0,5350,193906,0,4,1,3,1,2,,,3,170,,,,,,60000,1,1,16000,1,2500000,,,,,2,,,,,,1,2,5,5,99999998,3,4,99999998,5,,,1,,,,8,,,,,2,1,170,4,5,5,1,2,2,1,3,1,2,0,1,,1,,200,1,3,4,4,2,1,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,10,1,1,2012,6,1250000,1,,,,,,,,2,2,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,2,1,2,2,1,2,8,2,2,1,,2,2,2,1,2,2,2,,,1,,,1,,,,2,2,,,,,,,,,,,,,,1,500000,,,,5,
560,,6,2018,848.0985396,0,2400,0,0,0,0,0,0,0,0,0,22689,204689,0,8,3,5,2,3,,,1,,,,,,,,2,2,9000,1,,,,,,2,,,,,,1,1,3,1,1,2,1,2,1,,,3,,,,1,1,1,2,,1,,40,4,1,1,1,2,2,2,1,2,,0,,,2,,,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,,,,,,,,,,,,,,2,2,,2,,,,,,2,,2,,400000,2,,,2,,,,,,1,,2,,1,1,1,2,2,1,2,7,2,2,1,2,,,,,,,,,,,,,2,,,,2,1,1,,,,,,,,,,,,,1,0,6,4,,5,
561,,6,2018,235.4207854,0,0,0,0,0,0,0,0,0,0,0,14001,347397,0,9,7,2,1,1,,,1,,,,,,,99999998,1,1,30000,1,99999998,,,,,1,1,2,1,2,2,1,1,5,1,2,2,3,5,1,,,1,,,,4,1,2,7,,2,,180,3,5,5,1,2,2,2,4,2,,1,1,,1,,70,1,3,6,2,2,2,1,2,2,1,1,1,1,1,2,1,2,1,2,1,2,9,1,1,2007,8,175000,2,,,,,,,,1,1,,,,2,,2,,,2,2,,,2,,,2,,,,,,2,,2,,1,99999998,1,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,,,,,,2,,,,2,1,1,,,,,,,,,,,,,1,99999998,12,10,,1,2980835.572
563,,6,2018,1885.838616,0,0,0,0,0,0,0,0,0,0,0,22440.16667,430440.1667,0,5,3,2,1,1,1,,4,,,,,,,,1,2,99999998,1,1400000,,,,,2,,,,,,1,2,3,4,2,2,2,2,4,1,,1,,2,2,4,,4,5,3,2,,133,1,5,5,2,1,2,1,3,1,2,1,1,1,2,,,1,3,6,2,2,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,8,1,1,2010,1,900000,1,,,,,,,,,,,,,99999998,,2,,,2,2,,,2,,,2,,,,,,99999998,,2,,1,1,1,2,2,1,2,5,2,2,1,,,,,,,,2,,,,,,2,,,,2,2,,,,,,,,,,,,,,1,200000,,,,5,1531361.485
