Siduri,wave,s_seker,MisparPrat,MishkalPrat,MishkalOrech,MezahePrat,Leom,YachasKirvaKalkali,SafaNosefetIvrit,SafaNosefetAravit,SafaNosefetAnglit,SafaNosefetRusit,SafaNosefetZarfatit,SafaNosefetSfaradit,SafaNosefetIdish,SafaNosefetLoYodea,K_SemelMiktzLim1,K_SemelMiktzLim2,K_sug_mosad,K_ShnLimKlali,K_SafaIkarit,K_SfatEm,bmi,Dat1,DatAteist1,DatiutLoYehudi1,DatiutYehudi1,Gil1,Mazav1,MisparMeshivP1,Yachas1,NifkadGalKodemH1,MaonGan1,MaonGanYesodi1,BateySeferLamad1,BSYsh1,IvritDibur1,IvritKria1,IvritKtiva1,Kita1,KriaHanaa1,limudim1,MiktzLim1Asakim1,MiktzLim1MadaeiHevra1,MiktzLim2Asakim1,MiktzLim2MadaeiHevra1,TeudaEretz1,TeudaGvoha1,BeayaBriut1,BeayaMafria1,KoshiHalicha1,KoshiLehitrachetz1,KoshiLevush1,KoshiMB1,KoshiReia1,KoshiShmia1,KoshiZikaron1,MatzavBriut1,K_Gova,K_Mishkal,MisparAv,MisparEm,MisparAchrai,TchunatAvodaShvuit,TchunatAvodaBederechKlal,TchunatAvodaShnatit,ShaotBdk,SemelAnaf1,SemelAnafY1,SemelMishlach1,SemelMishlachY1,HaimMemune,HaimMenahel,ImutAnaf1,ImutAnafAgaf1,ImutMishlach1,Zminut1,SibaLoZamin1,ChipesChodesh1,MekomotAvoda1,MamadAvoda1,KamaKfufim1,MekabelSachar1,Yamim1,C_SachLemaase1,Oved351,MisraMelea1,IkaritPachot351,MikumAvoda11,AvadShana1,MamadAvoday1,MekabelSacharY1,YamimY1,ShaotAvodaY1,Oved35Y1,MisraMeleaY1,MikumAvodaY11,KamaAvadK1,SibaIkarit12Chod1,ChipesShana1,ShanaAzmai,Avad12Hodashim,BrutoSachir,AchnBruAvodKodem1,BrutoAzmaiShnati1,kamaAvadNYch,RechevChevra1,rechevkalul1,havraakalul1,matanakalul1,maanakkalul1,hishtatfutkalul1,tashlumacherkalul1,pitzuyimkalul1,pidyonkalul1,bituach1,misparhodashimbituah1,schumbituach1,achnsmartafut1,achnmeshekbayit1,achnshiurprati1,achnhartzaa1,achacherz1,misparhodashimsmartafut1,misparhodashimmeshekbayit1,misparhodashimshiurprati1,misparhodashimhartzaa1,misparhodashimachacher1,schumsmartafut1,schummeshekbayit1,schumachnshiurprati1,schumachnhartzaa1,schumachacherz1,kamaAvadN2,hatavotLoBBruto,SacShnati_LePratMeAvoda,Tlush1,Ofen_Mehush1,HashavAni1,KamaAvaddY1
5987,6,2018,1,678.72784117,,01-03238-01,1,1,0,1,0,0,0,0,0,0,,,,4,1,1,27.041644132,1,,,,47,1,,1,1,,,1,,,,,,4,1,,,,,,1,2,,,,,,1,1,1,2,6,9,,,,1,1,2,36,,,,,2,,1,1,1,,,,1,2,,,6,36,,0,,,,,,,,,,,0,,,,12,0,0,127030,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,127030,,99999999,3,
1492,6,2018,1,706.22347694,967.35545025,01-03239-01,1,1,0,1,1,0,0,0,0,0,7,3,2,6,1,1,25.142857143,1,,,4,47,1,,1,1,,,1,,,,,,2,1,,,,,1,4,2,,,,,,1,1,1,2,7,8,,,,2,1,2,45,F,,2,,2,,,,,,,,1,1,,1,5,9,,0,,2,,,,,,,,,9,,,,12,11500,22000,0,3,2,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,232500,2,,4,
1492,6,2018,2,739.30808206,1060.1411406,01-03239-02,1,2,0,0,1,0,0,0,0,0,5,,1,5,1,1,,1,,,,45,1,,2,1,,,1,,,,,,3,1,,,,,1,4,2,,,,,,1,1,1,2,6,99999999,,,,2,1,2,45,,,,,1,1,1,1,1,,,,1,1,30,1,5,9,,0,,,,,,,,,,,0,,,,12,10000,0,0,12,2,2,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,120000,2,,4,
1492,6,2018,3,664.98372763,1891.5098937,01-03239-03,1,3,0,0,1,0,0,0,0,0,,,,,1,1,,1,,,,14,,1,3,2,,,,1,,,,8,2,2,,,,,,,,,,,,,1,1,1,1,4,3,1,2,,,0,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1492,6,2018,4,664.98372763,1891.5098937,01-03239-04,1,3,0,0,0,0,0,0,0,1,,,,,1,1,,1,,,,12,,1,3,2,,,,1,,,,7,2,2,,,,,,,,,,,,,1,1,1,1,4,3,1,2,,,0,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1492,6,2018,5,664.98372763,1891.5098937,01-03239-05,1,3,0,0,0,0,0,0,0,1,,,,,1,1,,1,,,,6,,1,3,2,,2,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,,,0,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1493,6,2018,1,787.4757283,,01-03240-01,1,1,0,0,1,0,0,0,0,0,3,,3,6,1,1,25.951557093,1,,,,45,1,,1,2,,,1,,,,,,4,1,,,,,1,5,2,,,,,,1,1,1,1,6,8,,,,6,0,2,30,P,,2,,1,1,,,,,,,1,1,3,1,5,0,,1,,2,,,,,,,,,0,,,,12,18065,0,0,12,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,216780,2,,4,
1493,6,2018,2,988.0051222,,01-03240-02,1,2,0,0,1,0,0,0,0,0,,,,5,1,1,28.408163265,1,,,4,47,1,,2,2,,,1,,,,,,3,1,,,,,,3,2,,,,,,1,1,1,1,7,10,,,,1,1,2,45,M,,3,,1,1,,,,,,,1,1,8,1,5,45,,0,,2,,,,,,,,,0,,,,12,35000,0,0,12,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,420000,2,,4,
1493,6,2018,3,867.34873795,,01-03240-03,1,3,0,0,1,0,0,0,0,0,,,,,1,1,,1,,,,12,,2,3,2,,,,1,,,,6,4,2,,,,,,,,,,,,,1,1,1,1,6,4,2,1,,,0,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1493,6,2018,4,903.16523767,,01-03240-04,1,3,0,0,1,0,0,0,0,0,,,,,1,1,,1,,,,16,5,2,3,2,,,,1,,,,10,4,2,,,,,,,2,,,,,,1,1,1,1,3,5,2,1,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1497,6,2018,1,780.96085359,1404.4718186,01-03246-01,2,1,1,0,1,0,0,0,0,0,,,,4,2,2,28.685144681,3,,,,48,1,,1,1,,,1,,3,3,3,,3,1,,,,,,7,2,,,,,,1,1,1,1,5,9,,,,2,1,2,40,N,,9,,2,,1,1,1,,,,1,1,,2,5,24,,0,,,,,,,,,,,0,,,,12,4500,0,0,12,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,54000,2,,1,
1497,6,2018,2,698.89197265,,01-03246-02,2,2,1,0,0,0,0,0,0,0,,,,3,2,2,21.447567846,3,,2,,50,1,,2,1,,,1,,3,3,3,,1,1,,,,,,7,1,2,3,1,1,2,1,2,1,3,9,8,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,2,
1497,6,2018,3,992.99981064,,01-03246-03,2,3,1,0,0,0,0,0,0,0,,,,4,2,2,,3,,,,23,5,,3,2,,,1,,2,2,2,,2,1,,,,,,2,2,,,,,,1,1,1,1,8,99999998,,,,1,1,2,40,R,,7,,2,,,,,,,,1,1,,1,5,40,,0,,2,,,,,,,,,0,,,,10,8000,0,0,10,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,80000,2,,4,
1497,6,2018,4,616.48256346,1101.6904395,01-03246-04,2,3,1,0,1,0,0,0,0,0,,,,,2,2,,3,,,,17,5,2,3,2,,,,1,,,,11,3,2,,,,,,,2,,,,,,1,1,1,1,9,11,2,1,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1497,6,2018,5,627.03600202,1101.6904395,01-03246-05,2,3,1,0,1,0,0,0,0,0,,,,,7,2,,3,,,,15,,2,3,2,,,,1,,,,10,,2,,,,,,,2,,,,,,1,1,1,1,5,7,2,1,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1497,6,2018,6,992.99981064,,01-03246-06,2,3,1,0,0,0,0,0,0,0,,,,5,2,2,23.545706371,3,,,,24,5,,3,2,,,1,,3,2,2,,1,2,,,,,,2,2,,,,,,1,1,1,1,10,10,,,,2,3,1,32,F,,7,,2,,,,,,,,1,1,,1,4,24,,2,,2,,,,,,,,,0,,,,4,4500,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,18000,2,,2,
1497,6,2018,7,776.88818396,,01-03246-07,2,3,1,0,1,0,0,0,0,0,5,,1,5,2,2,,3,,,,21,5,,3,2,,,1,,1,1,1,,2,2,,,,,,2,2,,,,,,1,1,1,1,6,99999998,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
1497,6,2018,8,776.88818396,1101.6904395,01-03246-08,2,3,1,0,1,0,0,0,0,0,,,,4,2,2,,3,,,,20,5,,3,1,,,1,,2,2,2,,2,2,,,,,,2,2,,,,,,1,1,1,1,6,99999998,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
1499,6,2018,1,833.02657018,,01-03249-01,2,1,1,0,0,0,0,0,0,0,,,,3,2,2,,3,,2,,49,1,,1,2,,,1,,3,4,4,,5,1,,,,,,7,2,,,,,,1,1,1,1,99999998,4,,,,1,1,2,48,F,,7,,1,1,,,,,,,1,2,2,,6,48,,0,,1,,,,,,,,,0,,,2019,10,0,0,108000,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,108000,,1,4,
1499,6,2018,2,734.92378737,1896.6201463,01-03249-02,2,2,1,0,0,0,0,0,0,0,,,,3,2,2,40,3,,,,48,1,,2,1,,,1,,4,5,5,,1,1,,,,,,7,1,3,2,1,1,1,1,1,1,3,2,11,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,3,
1499,6,2018,3,1144.2823918,,01-03249-03,2,3,1,0,1,0,0,0,0,0,,,,4,2,2,24.609733701,3,,,,23,5,,3,1,,,1,,3,3,3,,1,1,,,,,,1,2,,,,,,1,1,1,1,5,6,,,,1,1,2,48,F,,7,,2,,1,1,1,,,,1,1,,1,6,48,,0,,,,,,,,,,,0,,,,12,6000,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,72000,2,,4,
1499,6,2018,4,1144.2823918,1487.7395579,01-03249-04,2,3,1,0,0,0,0,0,0,0,,,,3,2,2,,3,,,,19,5,,3,1,,,1,,3,4,4,,5,1,,,,,,7,2,,,,,,1,1,1,1,7,6,,,,2,3,1,24,F,,7,,2,,,,,,,,1,1,,1,3,24,,2,,1,,,,,,,,,3,,,,6,2000,5000,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,21000,2,,,
1499,6,2018,5,710.40309842,1487.7395579,01-03249-05,2,3,1,0,1,0,0,0,0,0,,,,,2,2,,3,,,,15,,1,3,2,,,,1,,,,10,1,2,,,,,,,2,,,,,,1,1,1,1,10,4,1,2,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1499,6,2018,6,678.29124517,1487.7395579,01-03249-06,2,3,1,0,0,0,0,0,0,0,,,,,2,2,,3,,,,10,,1,3,2,,,,1,,,,5,1,2,,,,,,,,,,,,,1,1,1,1,99999998,99999998,1,2,,,0,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1499,6,2018,7,1144.2823918,,01-03249-07,2,3,1,0,0,0,0,0,0,0,,,,3,2,2,22.206330686,3,,,,22,5,,3,1,,,1,,2,3,4,,1,1,,,,,,7,2,,,,,,1,1,1,1,4,4,,,,1,1,2,40,F,,9,,2,,1,1,1,,,,1,1,,1,5,40,,0,,,,,,,,,,,0,,,,12,5000,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60000,2,,4,
1499,6,2018,9,678.29124517,1487.7395579,01-03249-09,2,3,1,0,1,0,0,0,0,0,,,,,2,2,,3,,,,12,,1,3,2,,,,1,,,,6,1,2,,,,,,,,,,,,,1,1,1,1,99999998,99999998,1,2,,,0,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1500,6,2018,1,682.75930373,,01-03250-01,2,1,1,0,0,0,0,0,0,0,,,,2,2,2,31.141868512,3,,2,,52,1,,1,1,,,1,,2,2,2,,1,1,,,,,,7,2,,,,,,1,1,1,1,6,11,,,,2,2,2,32,F,,7,,2,,,,,,,,1,1,,1,4,32,,1,,1,,,,,,,,,0,,,,12,4000,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,48000,2,,4,
1500,6,2018,2,602.35299969,,01-03250-02,2,2,0,0,0,0,0,0,0,1,,,,3,2,2,,3,,,,49,1,,2,2,,,1,,4,4,4,,5,1,,,,,,7,2,,,,,,1,1,1,1,99999999,99999999,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
5201,6,2018,1,808.71743866,,01-03251-01,3,1,1,0,1,0,0,0,0,0,3,,,6,2,2,41.13865932,3,,2,,48,1,,1,1,,,1,,3,3,3,,3,1,,,,,2,4,2,,,,,,1,1,1,2,5,15,,,,1,1,2,40,Q,,2,,2,,1,1,1,,,,1,1,,1,5,40,,0,,,,,,,,,,,0,,,,12,7000,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,84000,2,,2,
1501,6,2018,1,651.59280503,525.12899145,01-03252-01,2,1,0,0,0,0,0,0,0,1,,,,4,2,2,25.259515571,3,,,,47,1,,1,1,,,1,,4,4,4,,2,1,,,,,,1,2,,,,,,1,1,1,1,6,7,,,,1,1,2,40,S,,3,,2,,1,1,1,,,,1,1,,1,5,40,,0,,,,,,,,,,,0,,,,12,2500,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,30000,2,,1,
1501,6,2018,2,491.11045231,230.36244761,01-03252-02,2,3,0,0,0,0,0,0,0,1,,,,,2,2,,3,,,,11,,4,3,2,,,,1,,,,5,1,2,,,,,,,,,,,,,1,1,1,1,4,5,4,1,,,0,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1501,6,2018,3,491.11045231,230.36244761,01-03252-03,2,3,0,0,0,0,0,0,0,1,,,,,2,2,,3,,,,14,,4,3,2,,,,1,,,,9,2,2,,,,,,,,,,,,,1,1,1,1,5,6,4,1,,,0,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1501,6,2018,4,603.14512177,281.74704416,01-03252-04,2,2,0,0,0,0,0,0,0,1,,,,2,2,2,27.166919271,3,,3,,54,1,,2,1,,,1,,3,5,5,,1,1,,,,,,7,1,1,2,2,2,3,2,1,2,3,9,12,,,,3,3,2,998,G,,5,,2,,1,1,1,,,,1,1,,1,9,998,2,2,,,,,,,,,,,0,,,,12,2500,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,30000,2,,1,
1503,6,2018,1,621.34914899,672.4376997,01-03255-01,2,1,1,0,1,0,0,0,0,0,8,12,1,6,2,2,26.82742078,3,,2,,55,1,,1,1,,,1,,1,1,1,,3,1,,,,,1,6,2,,,,,,1,1,1,1,7,10,,,,1,1,2,61,Q,,1,,1,3,,,,,,,2,1,99999998,1,5,61,,0,,2,,,,,,,,,0,,,2018,12,70000,0,300000,12,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1140000,2,1,4,
1503,6,2018,2,669.48461314,443.2550507,01-03255-02,2,2,1,0,1,0,0,0,0,0,1,2,1,6,2,2,20.069204152,3,,,,47,1,,2,1,,,1,,1,1,1,,1,1,,,,,1,4,2,,,,,,1,1,1,1,6,4,,,,2,3,2,30,P,,2,,2,,1,1,1,,,,1,1,,1,4,30,,2,,,,,,,,,,,0,,,,12,7411,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,88932,2,,4,
1503,6,2018,3,716.23201902,618.44190837,01-03255-03,2,3,1,0,1,0,0,0,0,0,,,,4,2,2,,3,,,,19,5,,3,1,,,1,,1,1,1,,2,2,,,,,,2,2,,,,,,1,1,1,1,4,4,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1503,6,2018,4,578.07966577,618.44190837,01-03255-04,2,3,1,0,1,0,0,0,0,0,,,,,2,2,,3,,,,17,5,1,3,2,,,,,,,,,2,1,,,,,,,2,,,,,,1,1,1,1,7,7,1,2,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
1503,6,2018,5,885.07409467,2107.5394746,01-03255-05,2,3,1,0,1,0,0,0,0,0,,,,4,2,2,24.221453287,3,,,,21,5,,3,1,,,1,,1,1,1,,3,2,,,,,,2,2,,,,,,1,1,1,1,6,7,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,4,
1506,6,2018,1,780.61365793,,01-03259-01,2,1,1,0,0,0,0,0,0,0,,,,2,2,2,26.583175803,2,,,,54,1,,1,2,,,1,,1,3,3,,2,1,,,,,,7,2,,,,,,1,1,1,1,8,11,,,,1,1,2,48,A,,7,,2,,,,,,,,1,1,,1,6,48,,0,,1,,,,,,,,,0,,,,12,8000,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,96000,2,,2,
1506,6,2018,2,688.68337038,1104.0072485,01-03259-02,2,2,0,0,0,0,0,0,0,1,,,,4,2,2,32,2,,2,,47,1,,2,1,,,1,,4,4,4,,2,1,,,,,,7,2,,,,,,1,1,1,1,2,7,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,3,
1506,6,2018,5,635.61407163,866.00116474,01-03259-05,2,3,0,0,0,0,0,0,0,1,,,,,2,2,,2,,,,11,,2,3,2,,,,1,,,,6,3,2,,,,,,,,,,,,,1,1,1,1,99999998,99999998,1,2,,,0,,0,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
5203,6,2018,1,713.20638084,,01-03260-01,2,1,1,0,0,0,0,0,0,0,,,,4,2,2,29.387755102,3,,3,,46,3,,1,1,,,1,,3,4,4,,2,1,,,,,,7,2,,,,,,1,1,2,2,7,11,,,,1,1,2,40,H,,8,,2,,1,1,1,,,,1,1,,1,5,40,,0,,,,,,,,,,,0,,,,12,5300,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,63600,2,,1,
1507,6,2018,1,463.21782335,,01-03261-01,2,1,1,0,0,0,0,0,0,0,6,,4,5,2,2,25.951557093,4,,4,,50,1,,1,1,,,1,,1,1,1,,3,1,,,,,,3,2,,,,,,1,2,2,1,6,8,,,,1,1,2,45,O,,5,,2,,1,1,1,,,,1,1,,1,5,45,,0,,,,,,,,,,,0,,,,12,9500,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,114000,1,,4,
1507,6,2018,2,408.66619301,,01-03261-02,2,2,1,0,0,0,0,0,0,0,,,,5,2,2,23.72528616,4,,,,47,1,,2,1,,,1,,1,1,1,,2,1,,,,,,3,2,,,,,,1,1,2,1,3,4,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,2,
1507,6,2018,5,401.79352537,,01-03261-05,2,3,1,0,0,0,0,0,0,0,,,,,2,2,,4,,,,15,,2,3,2,,,,1,,,,10,1,2,,,,,,,2,,,,,,1,1,1,1,5,4,1,2,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,
6303,6,2018,1,455.14923622,,01-03262-01,2,1,1,0,0,0,0,0,0,0,,,,5,2,2,26.365603029,4,,4,,25,1,,1,1,,,1,,1,1,1,,3,1,,,,,,3,2,,,,,,1,1,2,1,6,8,,,,2,4,2,32,N,,4,,2,,1,1,1,,,,1,1,,1,4,32,,0,,,,,,,,,,,0,,,,12,1600,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,19200,2,,2,
1508,6,2018,2,540.02436915,,01-03262-02,2,1,1,0,0,0,0,0,0,0,,,,1,2,2,28.326580372,4,,3,,46,1,,2,1,,,1,,3,4,4,,2,1,,,,,,7,1,1,2,1,1,2,2,1,3,3,5,8,,,,5,0,4,0,,,,,,,,,,1,,1,,,,,,0,,0,,,2,,,,,,,,0,5,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,
1508,6,2018,7,1027.5648104,,01-03262-07,2,3,1,0,1,0,0,0,0,0,,,,4,2,2,20.202020202,4,,,,20,5,,3,1,,,1,,1,1,1,,1,1,,,,,,2,2,,,,,,1,1,1,1,5,4,,,,2,1,2,40,P,,5,,2,,1,1,1,,,,1,1,,1,5,30,,0,,,,,,,,,,,0,,,,12,780,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,9360,2,,3,
5988,6,2018,1,355.17363812,,01-03263-01,2,1,1,0,0,0,0,0,0,0,,,,2,2,2,28.959000152,3,,,,46,3,,1,1,,,1,,3,3,3,,1,1,,,,,,7,1,1,2,3,2,2,3,1,2,3,4,8,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,
7042,6,2018,1,1033.3652042,,01-03265-01,2,1,0,0,0,0,0,0,0,1,,,,2,2,2,,3,,2,,43,1,,1,2,,,1,,5,5,5,,5,1,,,,,,7,2,,,,,,1,1,1,2,99999998,99999998,,,,1,1,2,35,N,,9,,2,,,,,,,,1,1,,1,5,35,,0,,2,,,,,,,,,6,,,,12,5000,5000,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60000,2,,2,
1509,6,2018,1,716.2488333,790.75124679,01-03266-01,2,2,0,0,1,0,0,0,0,0,,,,4,2,2,25.390625,3,,,,47,1,,1,1,,,1,,4,4,4,,1,1,,,,,,1,2,,,,,,1,1,1,2,4,6,,,,6,0,5,0,,,,,,,,,,,,2,,,,,,0,,0,,,2,,,,,,,,0,5,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,1,
